50088 3
13.15220088 5.69338266 6.71583596
-3.55608487 8.28008955 3.41085203
3.98285860 -7.36221724 1.12149131
2.08819322 -1.40722837 0.81730877
9.54322349 -0.18121465 2.10937986
2.41293641 3.25697885 0.71061663
3.34977333 10.57831646 3.24321043
17.21635010 5.81400819 9.51740352
8.17553782 -9.27157874 4.69224127
4.15966495 -0.96364933 1.46955835
-8.47432726 7.11208141 3.43701350
18.82052284 4.20489617 11.05169828
-11.41451335 3.30247774 4.48048829
3.09505170 10.58917117 3.21760275
-5.58381562 -10.09342127 4.48431335
9.21325407 5.38801873 3.70285017
3.69077626 -6.90048723 0.91315129
-8.38037970 13.14401117 7.39826523
-10.38640406 -4.18920113 3.67398247
-7.19642161 9.26585142 4.34896419
14.66743966 3.29138162 6.67732338
-0.18451473 12.19231021 4.44851625
-5.14166435 -14.93173530 6.63981622
-7.23768776 -13.73548763 7.05949923
1.50799317 -1.17761632 0.61532300
2.36976025 4.76185023 0.58251523
-8.46455528 -5.73321405 2.97565618
-2.22071978 2.53118471 -0.07093849
-2.07612310 -0.18250823 -0.60596026
3.73574952 -10.58605695 3.32198370
-9.35266369 -5.94571312 3.27704472
11.05868373 -2.16837129 3.18984846
7.82518794 -8.26087785 3.87290506
12.04558216 5.52674186 5.86300172
13.72651836 -3.74198098 6.01993689
-6.38256548 -8.31365885 3.84143292
-3.42226907 3.49593002 0.54991703
1.56813634 8.81834328 1.86287082
-10.09513635 12.30664069 7.76399244
-12.93999394 6.99939520 5.65035608
-2.03319124 -6.73701608 2.14086283
-8.20179071 -17.89881735 11.71785853
13.80456723 7.00956350 7.84192535
16.31921623 -1.29148279 8.25002600
-11.96127912 -15.20892525 12.20910303
-2.50946199 12.75448083 4.74899828
-10.66409474 -12.55954198 8.42029517
-2.90328327 2.82332980 0.10006670
-0.22565690 -4.86759763 0.74545294
-0.79077079 -7.83215315 2.17008653
5.26673185 -10.31678802 3.54996726
-2.63683010 13.93427649 5.37361140
-0.76189723 10.11753349 3.27359454
6.27766002 -4.95624080 2.50000000
-9.01139126 10.53949440 5.55580832
-2.68741548 -4.68112915 1.13537768
-8.55594426 -8.53080580 4.11234831
12.44446588 -1.09466069 3.80793973
4.56256111 -0.25148414 1.58937117
2.29063981 -9.04990085 1.91015729
1.20709022 10.64957444 3.24309440
-7.21509335 0.16664253 1.31033890
1.51867206 -6.23839537 0.78102331
15.94993222 -1.00606801 7.75129186
